Medicare Part Physician/Supplier BESS Data,,,,,
For Calendar Year 2000,,,,,
Code Ranges 30000 - 32999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
30000,80'S,RESPIRATORY,1,$7,$6
,OTHER,,158,"$13,458","$10,282"
,TOTAL,,159,"$13,465","$10,287"
30020,OTHER,,168,"$14,004","$10,985"
,TOTAL,,168,"$14,004","$10,985"
30100,OTHER,,"2,817","$167,399","$125,865"
,TOTAL,,"2,817","$167,399","$125,865"
30110,OTHER,,"1,205","$153,935","$115,621"
,TOTAL,,"1,205","$153,935","$115,621"
30115,SG,,77,"$25,024","$19,920"
,OTHER,,"1,414","$335,529","$264,912"
,TOTAL,,"1,491","$360,552","$284,832"
30117,SG,,169,"$72,817","$57,644"
,OTHER,,"2,059","$438,973","$344,345"
,TOTAL,,"2,228","$511,790","$401,990"
30118,SG,,25,"$11,039","$8,831"
,80'S,,20,"$1,597","$1,277"
,OTHER,,283,"$164,901","$131,655"
,TOTAL,,328,"$177,537","$141,763"
30120,SG,,41,"$11,999","$9,465"
,OTHER,,428,"$157,049","$122,896"
,TOTAL,,469,"$169,048","$132,362"
30124,SG,,17,"$5,066","$4,032"
,OTHER,,157,"$27,707","$21,276"
,TOTAL,,174,"$32,773","$25,308"
30125,SG,,11,"$4,062","$3,250"
,80'S,,1,$41,$33
,OTHER,,53,"$20,210","$15,235"
,TOTAL,,65,"$24,314","$18,518"
30130,SG,,457,"$147,489","$116,847"
,80'S,,1,$18,$14
,OTHER,,"4,665","$738,136","$581,094"
,TOTAL,,"5,123","$885,643","$697,954"
30140,SG,,"1,326","$379,344","$299,683"
,80'S,,1,$47,$38
,OTHER,,"11,891","$2,446,443","$1,922,697"
,TOTAL,,"13,218","$2,825,834","$2,222,418"
30150,SG,,38,"$16,209","$12,967"
,80'S,,2,$113,$91
,OTHER,,359,"$181,252","$143,805"
,TOTAL,,399,"$197,574","$156,863"
30160,SG,,3,"$1,738","$1,390"
,80'S,,4,$343,$275
,OTHER,,76,"$42,299","$33,224"
,TOTAL,,83,"$44,380","$34,888"
30200,OTHER,,"9,405","$456,385","$338,466"
,TOTAL,,"9,405","$456,385","$338,466"
30210,OTHER,,"1,117","$55,112","$41,163"
,TOTAL,,"1,117","$55,112","$41,163"
30220,OTHER,,333,"$33,287","$25,267"
,TOTAL,,333,"$33,287","$25,267"
30300,OTHER,,"1,480","$104,711","$78,144"
,TOTAL,,"1,480","$104,711","$78,144"
30310,SG,,7,"$1,592","$1,274"
,OTHER,,85,"$9,594","$7,674"
,TOTAL,,92,"$11,186","$8,948"
30320,SG,,1,$450,$360
,OTHER,,16,"$3,628","$2,903"
,TOTAL,,17,"$4,078","$3,262"
30400,SG,,27,"$13,715","$10,927"
,OTHER,,174,"$109,498","$87,117"
,TOTAL,,201,"$123,213","$98,044"
30410,SG,,14,"$8,601","$6,801"
