Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2003,,,,,
Code Ranges 30000 - 32999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
30000,OTHER,RESPIRATORY,221,"$27,334.23 ","$21,282.47 "
,TOTAL,,221,"$27,334.23 ","$21,282.47 "
30020,OTHER,,233,"$27,141.74 ","$21,491.61 "
,TOTAL,,233,"$27,141.74 ","$21,491.61 "
30100,OTHER,,"3,075","$215,764.42 ","$165,327.74 "
,TOTAL,,"3,075","$215,764.42 ","$165,327.74 "
30110,OTHER,,837,"$133,545.80 ","$101,609.44 "
,TOTAL,,837,"$133,545.80 ","$101,609.44 "
30115,SG,,173,"$54,570.70 ","$42,992.79 "
,OTHER,,"1,171","$326,567.01 ","$257,988.33 "
,TOTAL,,"1,344","$381,137.71 ","$300,981.12 "
30117,SG,,288,"$125,766.59 ","$99,372.88 "
,OTHER,,"2,075","$483,160.91 ","$379,523.97 "
,TOTAL,,"2,363","$608,927.50 ","$478,896.85 "
30118,SG,,42,"$18,819.79 ","$14,829.56 "
,80'S,,7,$601.15 ,$480.92 
,OTHER,,306,"$173,148.29 ","$136,112.30 "
,TOTAL,,355,"$192,569.23 ","$151,422.78 "
30120,SG,,74,"$21,657.74 ","$17,248.29 "
,OTHER,,349,"$130,952.48 ","$103,480.16 "
,TOTAL,,423,"$152,610.22 ","$120,728.45 "
30124,SG,,11,"$3,579.32 ","$2,863.45 "
,OTHER,,167,"$37,587.26 ","$29,438.76 "
,TOTAL,,178,"$41,166.58 ","$32,302.21 "
30125,SG,,12,"$4,422.16 ","$3,517.92 "
,OTHER,,45,"$20,283.27 ","$16,142.34 "
,TOTAL,,57,"$24,705.43 ","$19,660.26 "
30130,SG,,"1,059","$347,391.55 ","$274,194.28 "
,OTHER,,"5,013","$941,059.86 ","$739,189.97 "
,TOTAL,,"6,072","$1,288,451.41 ","$1,013,384.25 "
30140,SG,,"3,204","$989,854.67 ","$780,523.54 "
,OTHER,,"14,055","$3,859,020.50 ","$3,019,494.05 "
,TOTAL,,"17,259","$4,848,875.17 ","$3,800,017.59 "
30150,SG,,69,"$29,748.59 ","$23,645.30 "
,OTHER,,428,"$222,245.79 ","$177,379.95 "
,TOTAL,,497,"$251,994.38 ","$201,025.25 "
30160,SG,,1,$616.04 ,$492.83 
,80'S,,4,$392.13 ,$313.70 
,OTHER,,81,"$40,719.35 ","$32,575.48 "
,TOTAL,,86,"$41,727.52 ","$33,382.01 "
30200,OTHER,,"7,735","$518,333.57 ","$393,269.65 "
,TOTAL,,"7,735","$518,333.57 ","$393,269.65 "
30210,OTHER,,960,"$84,629.73 ","$65,802.98 "
