Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 30000 - 32999,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
30000,OTHER,RESPIRATORY,338,"$53,483.88 ","$41,947.66 "
,TOTAL,,338,"$53,483.88 ","$41,947.66 "
30020,OTHER,,283,"$36,845.46 ","$29,113.51 "
,TOTAL,,283,"$36,845.46 ","$29,113.51 "
30100,OTHER,,"3,120","$289,512.50 ","$223,069.06 "
,TOTAL,,"3,120","$289,512.50 ","$223,069.06 "
30110,OTHER,,801,"$146,152.83 ","$113,546.46 "
,TOTAL,,801,"$146,152.83 ","$113,546.46 "
30115,SG,,157,"$48,029.51 ","$38,041.47 "
,OTHER,,"1,061","$342,723.13 ","$271,811.07 "
,TOTAL,,"1,218","$390,752.64 ","$309,852.54 "
30117,SG,,318,"$144,374.42 ","$113,952.71 "
,OTHER,,"2,083","$775,956.97 ","$610,413.14 "
,TOTAL,,"2,401","$920,331.39 ","$724,365.85 "
30118,SG,,19,"$9,522.66 ","$7,530.12 "
,80'S,,5,$597.39 ,$477.91 
,OTHER,,256,"$171,020.89 ","$136,120.40 "
,TOTAL,,280,"$181,140.94 ","$144,128.43 "
30120,SG,,80,"$23,180.61 ","$18,076.63 "
,OTHER,,412,"$168,511.60 ","$132,568.71 "
,TOTAL,,492,"$191,692.21 ","$150,645.34 "
30124,OTHER,,195,"$47,491.14 ","$37,429.54 "
,TOTAL,,195,"$47,491.14 ","$37,429.54 "
30125,SG,,12,"$4,845.06 ","$3,872.85 "
,OTHER,,54,"$30,320.58 ","$23,723.77 "
,TOTAL,,66,"$35,165.64 ","$27,596.62 "
30130,SG,,"1,276","$411,999.76 ","$324,170.04 "
,OTHER,,"4,872","$1,375,457.68 ","$1,079,643.77 "
,TOTAL,,"6,148","$1,787,457.44 ","$1,403,813.81 "
30140,SG,,"4,141","$1,182,397.15 ","$929,281.39 "
,OTHER,,"14,483","$5,184,304.79 ","$4,072,177.55 "
,TOTAL,,"18,624","$6,366,701.94 ","$5,001,458.94 "
30150,SG,,75,"$33,033.45 ","$25,321.29 "
,OTHER,,373,"$250,084.06 ","$198,569.94 "
,TOTAL,,448,"$283,117.51 ","$223,891.23 "
30160,80'S,,4,$450.16 ,$360.13 
,OTHER,,78,"$47,553.51 ","$38,042.80 "
,TOTAL,,82,"$48,003.67 ","$38,402.93 "
30200,OTHER,,"8,633","$668,414.19 ","$508,967.62 "
,TOTAL,,"8,633","$668,414.19 ","$508,967.62 "
30210,OTHER,,856,"$82,756.79 ","$62,986.27 "
,TOTAL,,856,"$82,756.79 ","$62,986.27 "
30220,SG,,11,"$5,294.95 ","$3,907.05 "
,OTHER,,385,"$60,777.11 ","$47,260.40 "
,TOTAL,,396,"$66,072.06 ","$51,167.45 "
30300,OTHER,,"1,837","$317,530.66 ","$246,980.73 "
,TOTAL,,"1,837","$317,530.66 ","$246,980.73 "
30310,SG,,23,"$5,995.40 ","$4,796.33 "
,OTHER,,109,"$17,563.40 ","$13,568.12 "
,TOTAL,,132,"$23,558.80 ","$18,364.45 "
30320,SG,,4,"$1,118.23 ",$894.58 
,OTHER,,8,"$2,892.93 ","$2,295.10 "
,TOTAL,,12,"$4,011.16 ","$3,189.68 "
30400,SG,,50,"$27,243.73 ","$21,157.55 "
,OTHER,,106,"$97,400.07 ","$77,872.32 "
,TOTAL,,156,"$124,643.80 ","$99,029.87 "
30410,SG,,33,"$21,606.08 ","$17,196.90 "
,OTHER,,71,"$81,114.80 ","$64,891.86 "
,TOTAL,,104,"$102,720.88 ","$82,088.76 "
30420,SG,,104,"$70,387.80 ","$55,238.02 "
,OTHER,,438,"$560,977.31 ","$442,912.07 "
,TOTAL,,542,"$631,365.11 ","$498,150.09 "
30430,SG,,18,"$6,121.02 ","$4,896.82 "
,80'S,,1,$126.35 ,$101.08 
,OTHER,,77,"$62,339.30 ","$49,019.53 "
,TOTAL,,96,"$68,586.67 ","$54,017.43 "
30435,SG,,6,"$3,868.28 ","$3,090.87 "
,OTHER,,26,"$29,770.10 ","$23,724.89 "
,TOTAL,,32,"$33,638.38 ","$26,815.76 "
30450,SG,,19,"$17,286.20 ","$13,828.97 "
,OTHER,,81,"$122,454.30 ","$95,926.45 "
,TOTAL,,100,"$139,740.50 ","$109,755.42 "
30460,OTHER,,15,"$8,486.83 ","$6,460.95 "
,TOTAL,,15,"$8,486.83 ","$6,460.95 "
30462,OTHER,,16,"$25,737.48 ","$20,589.99 "
,TOTAL,,16,"$25,737.48 ","$20,589.99 "
30465,SG,,215,"$279,573.28 ","$218,325.14 "
,80'S,,4,$537.24 ,$429.79 
,OTHER,,"1,001","$869,774.26 ","$678,243.43 "
,TOTAL,,"1,220","$1,149,884.78 ","$896,998.36 "
30520,SG,,"4,973","$2,382,756.27 ","$1,870,128.70 "
,OTHER,,"19,730","$6,560,760.80 ","$5,139,991.49 "
,TOTAL,,"24,703","$8,943,517.07 ","$7,010,120.19 "
30540,OTHER,,17,"$6,584.97 ","$4,876.10 "
,TOTAL,,17,"$6,584.97 ","$4,876.10 "
30545,OTHER,,1,$896.68 ,$717.34 
,TOTAL,,1,$896.68 ,$717.34 
30560,SG,,67,"$17,965.30 ","$14,372.21 "
,OTHER,,558,"$69,538.31 ","$54,202.84 "
,TOTAL,,625,"$87,503.61 ","$68,575.05 "
30580,SG,,43,"$24,846.73 ","$19,819.77 "
,OTHER,,712,"$346,682.06 ","$271,680.68 "
,TOTAL,,755,"$371,528.79 ","$291,500.45 "
30600,SG,,8,"$4,908.49 ","$3,926.78 "
,OTHER,,101,"$38,515.74 ","$30,506.10 "
,TOTAL,,109,"$43,424.23 ","$34,432.88 "
30620,SG,,18,"$17,235.10 ","$13,788.07 "
,OTHER,,155,"$60,778.89 ","$48,063.01 "
,TOTAL,,173,"$78,013.99 ","$61,851.08 "
30630,SG,,51,"$49,277.02 ","$38,706.81 "
,OTHER,,247,"$128,775.77 ","$100,096.51 "
,TOTAL,,298,"$178,052.79 ","$138,803.32 "
30801,SG,,151,"$28,238.47 ","$22,504.99 "
,OTHER,,"4,362","$727,000.58 ","$563,188.07 "
,TOTAL,,"4,513","$755,239.05 ","$585,693.06 "
30802,SG,,384,"$75,399.02 ","$58,929.49 "
,OTHER,,"3,088","$488,322.15 ","$380,153.21 "
,TOTAL,,"3,472","$563,721.17 ","$439,082.70 "
30901,OTHER,,"130,207","$10,332,621.17 ","$7,860,078.31 "
,TOTAL,,"130,207","$10,332,621.17 ","$7,860,078.31 "
30903,SG,,79,"$23,342.68 ","$18,674.16 "
,OTHER,,"47,751","$6,168,387.25 ","$4,781,909.73 "
,TOTAL,,"47,830","$6,191,729.93 ","$4,800,583.89 "
30905,SG,,16,"$4,071.42 ","$3,209.70 "
,OTHER,,"9,348","$1,195,748.42 ","$930,505.54 "
,TOTAL,,"9,364","$1,199,819.84 ","$933,715.24 "
30906,SG,,5,"$1,539.48 ","$1,231.58 "
,OTHER,,"1,169","$216,213.05 ","$170,756.43 "
,TOTAL,,"1,174","$217,752.53 ","$171,988.01 "
30915,SG,,3,"$1,099.68 ",$879.74 
,OTHER,,164,"$71,214.62 ","$56,375.00 "
,TOTAL,,167,"$72,314.30 ","$57,254.74 "
30920,SG,,2,$744.99 ,$595.99 
,OTHER,,196,"$132,528.37 ","$103,823.35 "
,TOTAL,,198,"$133,273.36 ","$104,419.34 "
30930,SG,,"1,047","$441,680.49 ","$348,768.78 "
,OTHER,,"3,199","$232,328.69 ","$183,656.71 "
,TOTAL,,"4,246","$674,009.18 ","$532,425.49 "
30999,OTHER,,93,"$35,391.05 ","$27,992.19 "
,TOTAL,,93,"$35,391.05 ","$27,992.19 "
31000,OTHER,,"4,673","$688,847.04 ","$536,013.27 "
,TOTAL,,"4,673","$688,847.04 ","$536,013.27 "
31002,OTHER,,181,"$17,726.57 ","$13,722.25 "
,TOTAL,,181,"$17,726.57 ","$13,722.25 "
31020,SG,,84,"$24,780.95 ","$19,759.68 "
,OTHER,,497,"$107,684.33 ","$84,925.41 "
,TOTAL,,581,"$132,465.28 ","$104,685.09 "
