,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2006,,
,,,Code Ranges 30000 - 32999,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
30000,OTHER,RESPIRATORY,327,"$50,107.31 ","$39,527.01 "
,TOTAL,,327,"$50,107.31 ","$39,527.01 "
30020,OTHER,,236,"$29,748.13 ","$23,428.33 "
,TOTAL,,236,"$29,748.13 ","$23,428.33 "
30100,OTHER,,"2,977","$279,673.86 ","$214,080.26 "
,TOTAL,,"2,977","$279,673.86 ","$214,080.26 "
30110,OTHER,,728,"$131,639.16 ","$100,007.06 "
,TOTAL,,728,"$131,639.16 ","$100,007.06 "
30115,SG,,135,"$40,692.69 ","$32,211.38 "
,OTHER,,992,"$320,883.52 ","$253,757.23 "
,TOTAL,,"1,127","$361,576.21 ","$285,968.61 "
30117,SG,,308,"$139,506.33 ","$109,353.41 "
,OTHER,,"1,949","$720,715.24 ","$564,870.44 "
,TOTAL,,"2,257","$860,221.57 ","$674,223.85 "
30118,SG,,25,"$11,026.13 ","$8,820.92 "
,80'S,,4,$423.34 ,$338.67 
,OTHER,,230,"$155,235.21 ","$123,839.33 "
,TOTAL,,259,"$166,684.68 ","$132,998.92 "
30120,SG,,74,"$22,862.11 ","$17,963.72 "
,OTHER,,359,"$150,663.14 ","$118,733.69 "
,TOTAL,,433,"$173,525.25 ","$136,697.41 "
30124,OTHER,,181,"$45,617.09 ","$35,750.63 "
,TOTAL,,181,"$45,617.09 ","$35,750.63 "
30125,SG,,18,"$6,265.42 ","$5,012.33 "
,OTHER,,50,"$28,186.88 ","$22,518.22 "
,TOTAL,,68,"$34,452.30 ","$27,530.55 "
30130,SG,,"1,272","$404,521.55 ","$318,712.06 "
,OTHER,,"4,498","$1,287,822.29 ","$1,013,844.00 "
,TOTAL,,"5,770","$1,692,343.84 ","$1,332,556.06 "
30140,SG,,"4,942","$1,400,936.73 ","$1,103,012.29 "
,OTHER,,"14,949","$5,309,458.52 ","$4,165,897.08 "
,TOTAL,,"19,891","$6,710,395.25 ","$5,268,909.37 "
30150,SG,,47,"$20,168.10 ","$15,740.38 "
,OTHER,,377,"$255,895.52 ","$202,981.94 "
,TOTAL,,424,"$276,063.62 ","$218,722.32 "
30160,SG,,1,$629.37 ,$503.50 
,80'S,,2,$192.75 ,$154.20 
,OTHER,,67,"$39,228.79 ","$31,342.80 "
,TOTAL,,70,"$40,050.91 ","$32,000.50 "
30200,OTHER,,"8,107","$638,723.55 ","$485,262.17 "
,TOTAL,,"8,107","$638,723.55 ","$485,262.17 "
30210,OTHER,,840,"$77,212.75 ","$58,501.40 "
,TOTAL,,840,"$77,212.75 ","$58,501.40 "
30220,SG,,32,"$14,281.62 ","$11,067.20 "
,OTHER,,371,"$55,611.80 ","$42,999.26 "
,TOTAL,,403,"$69,893.42 ","$54,066.46 "
30300,OTHER,,"1,760","$313,302.10 ","$240,961.41 "
,TOTAL,,"1,760","$313,302.10 ","$240,961.41 "
30310,SG,,24,"$6,350.91 ","$5,039.39 "
,OTHER,,110,"$17,585.07 ","$13,835.07 "
,TOTAL,,134,"$23,935.98 ","$18,874.46 "
30320,SG,,3,"$1,209.56 ",$967.65 
,OTHER,,11,"$3,678.30 ","$2,697.35 "
,TOTAL,,14,"$4,887.86 ","$3,665.00 "
30400,SG,,34,"$17,751.08 ","$14,034.43 "
,OTHER,,101,"$88,672.34 ","$70,431.40 "
,TOTAL,,135,"$106,423.42 ","$84,465.83 "
30410,SG,,23,"$14,474.72 ","$11,243.69 "
,OTHER,,55,"$64,055.46 ","$50,320.55 "
,TOTAL,,78,"$78,530.18 ","$61,564.24 "
30420,SG,,92,"$60,006.98 ","$47,498.16 "
,OTHER,,366,"$471,380.07 ","$371,793.64 "
,TOTAL,,458,"$531,387.05 ","$419,291.80 "
30430,SG,,23,"$8,542.89 ","$6,588.66 "
,80'S,,1,$126.78 ,$101.42 
,OTHER,,66,"$52,126.97 ","$41,701.57 "
,TOTAL,,90,"$60,796.64 ","$48,391.65 "
30435,80'S,,2,$387.71 ,$310.17 
,OTHER,,23,"$25,237.57 ","$20,190.06 "
,TOTAL,,25,"$25,625.28 ","$20,500.23 "
30450,SG,,10,"$8,953.28 ","$6,616.02 "
,OTHER,,78,"$118,853.17 ","$95,082.47 "
,TOTAL,,88,"$127,806.45 ","$101,698.49 "
30460,SG,,2,"$1,226.71 ",$981.37 
,OTHER,,12,"$6,393.33 ","$5,114.66 "
,TOTAL,,14,"$7,620.04 ","$6,096.03 "
30462,SG,,2,"$2,340.02 ","$1,872.02 "
,80'S,,2,$522.01 ,$417.61 
,OTHER,,11,"$17,405.29 ","$13,924.22 "
,TOTAL,,15,"$20,267.32 ","$16,213.85 "
30465,SG,,272,"$349,935.01 ","$275,705.61 "
,80'S,,1,$69.27 ,$55.42 
,OTHER,,"1,030","$908,474.25 ","$712,420.85 "
,TOTAL,,"1,303","$1,258,478.53 ","$988,181.88 "
30520,SG,,"5,333","$2,564,121.15 ","$2,011,134.52 "
,OTHER,,"19,766","$6,546,216.92 ","$5,126,193.98 "
,TOTAL,,"25,099","$9,110,338.07 ","$7,137,328.50 "
30540,SG,,4,"$2,914.51 ","$1,850.58 "
,80'S,,2,$152.03 ,$121.63 
,OTHER,,18,"$9,084.24 ","$7,134.74 "
,TOTAL,,24,"$12,150.78 ","$9,106.95 "
30545,OTHER,,1,"$1,017.63 ",$814.10 
,TOTAL,,1,"$1,017.63 ",$814.10 
30560,SG,,66,"$17,089.19 ","$13,497.22 "
,OTHER,,576,"$71,708.05 ","$55,498.00 "
,TOTAL,,642,"$88,797.24 ","$68,995.22 "
30580,SG,,29,"$16,105.24 ","$12,718.89 "
,OTHER,,754,"$369,080.02 ","$288,666.42 "
,TOTAL,,783,"$385,185.26 ","$301,385.31 "
30600,SG,,6,"$3,638.63 ","$2,910.90 "
,OTHER,,74,"$27,584.64 ","$21,749.08 "
,TOTAL,,80,"$31,223.27 ","$24,659.98 "
30620,SG,,19,"$17,239.76 ","$13,061.29 "
,OTHER,,144,"$60,640.09 ","$48,027.68 "
,TOTAL,,163,"$77,879.85 ","$61,088.97 "
30630,SG,,59,"$53,302.04 ","$41,629.96 "
,80'S,,1,$101.40 ,$81.12 
,OTHER,,198,"$99,113.90 ","$78,286.35 "
,TOTAL,,258,"$152,517.34 ","$119,997.43 "
30801,SG,,168,"$31,625.76 ","$24,819.52 "
,OTHER,,"4,233","$723,501.62 ","$555,384.30 "
,TOTAL,,"4,401","$755,127.38 ","$580,203.82 "
30802,SG,,388,"$75,956.51 ","$59,845.16 "
,OTHER,,"3,299","$530,573.84 ","$415,054.52 "
,TOTAL,,"3,687","$606,530.35 ","$474,899.68 "
30901,OTHER,,"125,291","$9,974,187.34 ","$7,533,496.55 "
,TOTAL,,"125,291","$9,974,187.34 ","$7,533,496.55 "
30903,SG,,76,"$22,267.46 ","$17,498.69 "
,OTHER,,"46,330","$5,969,170.00 ","$4,611,792.51 "
,TOTAL,,"46,406","$5,991,437.46 ","$4,629,291.20 "
30905,SG,,26,"$6,304.05 ","$5,022.95 "
,OTHER,,"8,452","$1,099,065.19 ","$856,357.73 "
,TOTAL,,"8,478","$1,105,369.24 ","$861,380.68 "
30906,SG,,6,"$1,779.54 ","$1,423.62 "
