MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
30000,OTHER,RESPIRATORY,360,"$56,005.16 ","$42,958.22 "
,TOTAL,,360,"$56,005.16 ","$42,958.22 "
30020,OTHER,,286,"$37,259.68 ","$29,006.97 "
,TOTAL,,286,"$37,259.68 ","$29,006.97 "
30100,OTHER,,"2,976","$281,148.32 ","$215,672.21 "
,TOTAL,,"2,976","$281,148.32 ","$215,672.21 "
30110,OTHER,,661,"$120,463.31 ","$92,004.56 "
,TOTAL,,661,"$120,463.31 ","$92,004.56 "
30115,SG,,121,"$38,024.14 ","$30,350.09 "
,OTHER,,951,"$293,058.75 ","$231,751.77 "
,TOTAL,,"1,072","$331,082.89 ","$262,101.86 "
30117,SG,,329,"$151,956.14 ","$120,037.41 "
,OTHER,,"1,976","$765,249.22 ","$604,190.32 "
,TOTAL,,"2,305","$917,205.36 ","$724,227.73 "
30118,SG,,29,"$13,049.26 ","$10,334.60 "
,80'S,,4,$383.71 ,$306.96 
,OTHER,,205,"$120,002.81 ","$95,337.62 "
,TOTAL,,238,"$133,435.78 ","$105,979.18 "
30120,SG,,57,"$17,409.83 ","$13,927.82 "
,OTHER,,296,"$118,052.25 ","$92,174.54 "
,TOTAL,,353,"$135,462.08 ","$106,102.36 "
30124,OTHER,,121,"$29,138.53 ","$23,177.68 "
,TOTAL,,121,"$29,138.53 ","$23,177.68 "
30125,SG,,10,"$3,796.48 ","$3,001.15 "
,OTHER,,38,"$21,333.43 ","$16,857.16 "
,TOTAL,,48,"$25,129.91 ","$19,858.31 "
30130,SG,,"1,131","$350,244.64 ","$275,482.63 "
,OTHER,,"4,036","$977,578.30 ","$770,754.00 "
,TOTAL,,"5,167","$1,327,822.94 ","$1,046,236.63 "
30140,SG,,"5,304","$1,464,986.36 ","$1,156,655.22 "
,OTHER,,"14,973","$5,267,711.36 ","$4,132,134.14 "
,TOTAL,,"20,277","$6,732,697.72 ","$5,288,789.36 "
30150,SG,,40,"$18,380.87 ","$14,667.22 "
,OTHER,,342,"$207,650.61 ","$164,892.45 "
,TOTAL,,382,"$226,031.48 ","$179,559.67 "
30160,80'S,,4,$392.22 ,$313.78 
,OTHER,,68,"$38,297.89 ","$30,638.31 "
,TOTAL,,72,"$38,690.11 ","$30,952.09 "
30200,OTHER,,"8,138","$630,188.43 ","$480,760.06 "
,TOTAL,,"8,138","$630,188.43 ","$480,760.06 "
30210,OTHER,,734,"$70,082.87 ","$52,724.52 "
,TOTAL,,734,"$70,082.87 ","$52,724.52 "
30220,SG,,45,"$18,986.55 ","$14,886.55 "
,OTHER,,393,"$56,546.64 ","$44,181.09 "
,TOTAL,,438,"$75,533.19 ","$59,067.64 "
3023F,OTHER,,1,$0.01 ,$0.01 
,TOTAL,,1,$0.01 ,$0.01 
3025F,OTHER,,1,$0.01 ,$0.01 
,TOTAL,,1,$0.01 ,$0.01 
