CPT only copyright 2009 American Medical Association. All rights reserved.,,,,,,
,,,,,,
"Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,,
,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
CARDIOVASCULAR,33010,TOTAL,"4,216","$449,337.32","$354,924.25",
,,80S,0,$0.00,$0.00,
,,OTHER,"4,216","$449,337.32","$354,924.25",
,33011,TOTAL,80,"$7,766.63","$6,117.20",
,,OTHER,80,"$7,766.63","$6,117.20",
,33015,TOTAL,630,"$283,912.31","$225,427.24",
,,80S,0,$0.00,$0.00,
,,OTHER,630,"$283,912.31","$225,427.24",
,33020,TOTAL,362,"$162,850.28","$129,928.11",
,,80S,126,"$10,207.14","$8,106.73",
,,OTHER,236,"$152,643.14","$121,821.38",
,33025,TOTAL,"7,009","$4,238,727.46","$3,375,765.31",
,,80S,"1,580","$168,141.40","$134,020.83",
,,OTHER,"5,429","$4,070,586.06","$3,241,744.48",
,33030,TOTAL,694,"$563,992.41","$448,026.96",
,,80S,199,"$31,592.51","$25,018.64",
,,OTHER,495,"$532,399.90","$423,008.32",
,33031,TOTAL,341,"$199,455.51","$158,180.26",
,,80S,117,"$13,913.18","$11,130.60",
,,OTHER,224,"$185,542.33","$147,049.66",
,33050,TOTAL,134,"$61,875.10","$49,295.79",
,,80S,41,"$3,485.18","$2,751.14",
,,OTHER,93,"$58,389.92","$46,544.65",
,33120,TOTAL,"1,062","$848,015.36","$674,403.17",
,,80S,371,"$62,342.12","$49,873.63",
,,OTHER,691,"$785,673.24","$624,529.54",
,33130,TOTAL,76,"$54,372.16","$43,467.06",
,,80S,23,"$3,132.53","$2,506.00",
,,OTHER,53,"$51,239.63","$40,961.06",
,33140,TOTAL,115,"$118,950.32","$93,234.65",
,,80S,40,"$8,537.02","$6,668.56",
,,OTHER,75,"$110,413.30","$86,566.09",
,33141,TOTAL,"1,284","$127,551.86","$101,146.14",
,,80S,490,"$10,279.56","$8,166.03",
,,OTHER,794,"$117,272.30","$92,980.11",
,33202,TOTAL,"2,796","$1,618,745.07","$1,285,342.86",
,,80S,N/A,$160.97,$128.77,
,,OTHER,"2,794","$1,618,584.10","$1,285,214.09",
,33203,TOTAL,216,"$161,337.36","$128,069.11",
,,80S,0,$0.00,$0.00,
,,OTHER,216,"$161,337.36","$128,069.11",
,33206,TOTAL,"1,546","$668,873.19","$532,243.79",
,,80S,0,$0.00,$0.00,
,,SG,N/A,"$7,472.35","$5,977.88",
,,OTHER,"1,545","$661,400.84","$526,265.91",
,33207,TOTAL,"26,388","$12,309,764.65","$9,792,146.29",
,,80S,0,$0.00,$0.00,
,,OTHER,"26,388","$12,309,764.65","$9,792,146.29",
,33208,TOTAL,"123,887","$63,349,899.09","$50,365,852.40",
,,80S,N/A,$162.59,$130.07,
,,SG,N/A,"$8,269.10","$6,615.28",
,,OTHER,"123,884","$63,341,467.40","$50,359,107.05",
,33210,TOTAL,"21,274","$2,842,069.00","$2,253,831.80",
,,80S,0,$0.00,$0.00,
,,OTHER,"21,274","$2,842,069.00","$2,253,831.80",
,33211,TOTAL,908,"$111,204.59","$88,411.69",
,,80S,0,$0.00,$0.00,
,,OTHER,908,"$111,204.59","$88,411.69",
,33212,TOTAL,"12,782","$4,489,511.75","$3,552,766.07",
,,80S,0,$0.00,$0.00,
,,SG,N/A,"$16,189.62","$12,951.69",
,,OTHER,"12,779","$4,473,322.13","$3,539,814.38",
,33213,TOTAL,"49,500","$19,826,381.87","$15,703,466.37",
,,80S,N/A,$29.22,$23.38,
,,SG,N/A,"$25,459.77","$20,326.94",
,,OTHER,"49,495","$19,800,892.88","$15,683,116.05",
,33214,TOTAL,808,"$340,805.46","$269,622.49",
,,80S,N/A,$341.85,$273.48,
,,OTHER,801,"$340,463.61","$269,349.01",
,33215,TOTAL,"5,146","$1,328,450.45","$1,053,842.69",
,,80S,0,$0.00,$0.00,
,,SG,N/A,$799.06,$639.25,
,,OTHER,"5,145","$1,327,651.39","$1,053,203.44",
,33216,TOTAL,"5,712","$1,632,768.58","$1,295,000.39",
,,80S,0,$0.00,$0.00,
,,OTHER,"5,712","$1,632,768.58","$1,295,000.39",
,33217,TOTAL,"3,359","$951,822.33","$755,645.14",
,,80S,0,$0.00,$0.00,
,,OTHER,"3,359","$951,822.33","$755,645.14",
,33218,TOTAL,886,"$264,048.64","$209,752.86",
,,80S,0,$0.00,$0.00,
,,OTHER,886,"$264,048.64","$209,752.86",
,33220,TOTAL,472,"$149,544.49","$119,027.34",
,,OTHER,472,"$149,544.49","$119,027.34",
,33222,TOTAL,"3,791","$918,354.80","$728,762.04",
,,80S,N/A,$46.27,$37.02,
,,OTHER,"3,790","$918,308.53","$728,725.02",
,33223,TOTAL,"6,336","$1,782,378.12","$1,414,413.81",
,,80S,25,"$1,323.83","$1,015.31",
,,OTHER,"6,311","$1,781,054.29","$1,413,398.50",
,33224,TOTAL,"3,114","$1,349,099.40","$1,067,486.16",
,,80S,0,$0.00,$0.00,
,,OTHER,"3,114","$1,349,099.40","$1,067,486.16",
,33225,TOTAL,"33,884","$15,685,390.29","$12,467,318.08",
,,80S,0,$0.00,$0.00,
,,OTHER,"33,884","$15,685,390.29","$12,467,318.08",
,33226,TOTAL,806,"$384,268.65","$304,048.48",
,,80S,0,$0.00,$0.00,
,,OTHER,806,"$384,268.65","$304,048.48",
,33233,TOTAL,"65,669","$8,335,888.35","$6,608,187.76",
,,80S,N/A,$18.40,$14.72,
,,SG,N/A,"$3,015.73","$2,386.36",
,,OTHER,"65,659","$8,332,854.22","$6,605,786.68",
,33234,TOTAL,"3,883","$1,498,112.59","$1,189,701.45",
,,80S,N/A,$88.87,$71.10,
,,SG,N/A,$480.89,$384.71,
,,OTHER,"3,881","$1,497,542.83","$1,189,245.64",
,33235,TOTAL,"3,565","$1,992,946.91","$1,584,412.71",
,,80S,N/A,$47.73,$38.18,
,,OTHER,"3,564","$1,992,899.18","$1,584,374.53",
,33236,TOTAL,77,"$36,581.79","$29,157.43",
,,80S,12,$947.91,$758.33,
,,OTHER,65,"$35,633.88","$28,399.10",
,33237,TOTAL,77,"$53,001.86","$42,275.43",
,,80S,N/A,$531.98,$425.59,
,,OTHER,71,"$52,469.88","$41,849.84",
,33238,TOTAL,111,"$63,244.42","$50,697.50",
,,80S,17,"$1,452.57","$1,162.06",
,,OTHER,94,"$61,791.85","$49,535.44",
,33240,TOTAL,"34,768","$16,328,128.14","$12,892,366.73",
,,80S,N/A,$33.61,$26.89,
,,OTHER,"34,767","$16,328,094.53","$12,892,339.84",
,33241,TOTAL,"41,393","$4,923,359.87","$3,890,612.48",
,,80S,79,"$2,074.73","$1,659.81",
,,OTHER,"41,314","$4,921,285.14","$3,888,952.67",
,33243,TOTAL,400,"$329,633.58","$262,686.58",
