CPT only copyright 2011 American Medical Association. All rights reserved.,,,,,,
,,,,,,
"2011 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-18117,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
CARDIOVASCULAR,33010,TOTAL,"4,475","$495,547.65","$390,925.49",
CARDIOVASCULAR,33010,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33010,OTHER,"4,475","$495,547.65","$390,925.49",
CARDIOVASCULAR,33011,TOTAL,70,"$7,674.56","$6,139.60",
CARDIOVASCULAR,33011,OTHER,70,"$7,674.56","$6,139.60",
CARDIOVASCULAR,33015,TOTAL,636,"$313,613.70","$248,879.19",
CARDIOVASCULAR,33015,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33015,OTHER,636,"$313,613.70","$248,879.19",
CARDIOVASCULAR,33020,TOTAL,298,"$155,625.53","$123,632.99",
CARDIOVASCULAR,33020,80S,84,"$7,652.28","$6,121.76",
CARDIOVASCULAR,33020,OTHER,214,"$147,973.25","$117,511.23",
CARDIOVASCULAR,33025,TOTAL,"7,122","$4,543,022.27","$3,615,038.11",
CARDIOVASCULAR,33025,80S,"1,669","$189,690.07","$151,081.76",
CARDIOVASCULAR,33025,OTHER,"5,453","$4,353,332.20","$3,463,956.35",
CARDIOVASCULAR,33030,TOTAL,683,"$571,830.26","$454,466.73",
CARDIOVASCULAR,33030,80S,202,"$31,459.41","$24,960.76",
CARDIOVASCULAR,33030,OTHER,481,"$540,370.85","$429,505.97",
CARDIOVASCULAR,33031,TOTAL,368,"$259,767.62","$207,005.34",
CARDIOVASCULAR,33031,80S,120,"$16,472.80","$13,129.54",
CARDIOVASCULAR,33031,OTHER,248,"$243,294.82","$193,875.80",
CARDIOVASCULAR,33050,TOTAL,127,"$72,308.98","$57,027.76",
CARDIOVASCULAR,33050,80S,34,"$3,663.68","$2,930.95",
CARDIOVASCULAR,33050,OTHER,93,"$68,645.30","$54,096.81",
CARDIOVASCULAR,33120,TOTAL,"1,021","$885,151.58","$704,933.55",
CARDIOVASCULAR,33120,80S,367,"$65,895.75","$52,316.11",
CARDIOVASCULAR,33120,OTHER,654,"$819,255.83","$652,617.44",
CARDIOVASCULAR,33130,TOTAL,57,"$40,458.60","$32,366.89",
CARDIOVASCULAR,33130,80S,20,"$3,018.80","$2,415.05",
CARDIOVASCULAR,33130,OTHER,37,"$37,439.80","$29,951.84",
CARDIOVASCULAR,33140,TOTAL,71,"$81,285.87","$62,018.13",
CARDIOVASCULAR,33140,80S,24,"$5,529.81","$4,241.75",
CARDIOVASCULAR,33140,OTHER,47,"$75,756.06","$57,776.38",
CARDIOVASCULAR,33141,TOTAL,"1,152","$112,222.73","$89,236.65",
CARDIOVASCULAR,33141,80S,420,"$8,578.26","$6,826.29",
CARDIOVASCULAR,33141,OTHER,732,"$103,644.47","$82,410.36",
CARDIOVASCULAR,33202,TOTAL,"2,352","$1,473,208.56","$1,171,408.89",
CARDIOVASCULAR,33202,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33202,OTHER,"2,352","$1,473,208.56","$1,171,408.89",
CARDIOVASCULAR,33203,TOTAL,208,"$165,101.45","$130,805.99",
CARDIOVASCULAR,33203,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33203,OTHER,208,"$165,101.45","$130,805.99",
CARDIOVASCULAR,33206,TOTAL,"1,336","$637,341.13","$506,358.85",
CARDIOVASCULAR,33206,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33206,OTHER,"1,336","$637,341.13","$506,358.85",
CARDIOVASCULAR,33207,TOTAL,"23,601","$11,640,560.62","$9,270,461.22",
CARDIOVASCULAR,33207,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33207,OTHER,"23,601","$11,640,560.62","$9,270,461.22",
