CPT only copyright 2017 American Medical Association. All rights reserved.,,,,,,,,
,,,,,,,,
"""2017 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17926,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
CARDIOVASCULAR,33010,80S,N/A,$18.32,$14.37,,,
CARDIOVASCULAR,33010,OTHER,"5,811","$565,742.95","$440,227.77",,,
CARDIOVASCULAR,33010,TOTAL,"5,812","$565,761.27","$440,242.14",,,
CARDIOVASCULAR,33011,OTHER,96,"$9,923.62","$7,788.33",,,
CARDIOVASCULAR,33011,TOTAL,96,"$9,923.62","$7,788.33",,,
CARDIOVASCULAR,33015,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33015,OTHER,"1,146","$563,728.67","$438,502.76",,,
CARDIOVASCULAR,33015,TOTAL,"1,146","$563,728.67","$438,502.76",,,
CARDIOVASCULAR,33020,80S,38,"$3,976.78","$3,116.77",,,
CARDIOVASCULAR,33020,OTHER,162,"$116,216.63","$89,997.78",,,
CARDIOVASCULAR,33020,TOTAL,200,"$120,193.41","$93,114.55",,,
CARDIOVASCULAR,33025,80S,"1,714","$192,062.88","$149,084.05",,,
CARDIOVASCULAR,33025,OTHER,"4,925","$3,858,596.52","$3,003,626.77",,,
CARDIOVASCULAR,33025,TOTAL,"6,639","$4,050,659.40","$3,152,710.82",,,
CARDIOVASCULAR,33030,80S,106,"$30,057.75","$23,356.20",,,
CARDIOVASCULAR,33030,OTHER,332,"$639,407.06","$495,838.18",,,
CARDIOVASCULAR,33030,TOTAL,438,"$669,464.81","$519,194.38",,,
CARDIOVASCULAR,33031,80S,139,"$45,060.45","$35,190.06",,,
CARDIOVASCULAR,33031,OTHER,230,"$515,132.34","$402,120.13",,,
CARDIOVASCULAR,33031,TOTAL,369,"$560,192.79","$437,310.19",,,
CARDIOVASCULAR,33050,80S,27,"$2,621.68","$2,052.01",,,
CARDIOVASCULAR,33050,OTHER,71,"$48,342.58","$37,443.43",,,
CARDIOVASCULAR,33050,TOTAL,98,"$50,964.26","$39,495.44",,,
CARDIOVASCULAR,33120,80S,377,"$101,490.97","$78,619.27",,,
CARDIOVASCULAR,33120,OTHER,718,"$1,354,133.48","$1,053,906.11",,,
CARDIOVASCULAR,33120,TOTAL,"1,095","$1,455,624.45","$1,132,525.38",,,
CARDIOVASCULAR,33130,80S,18,"$2,626.19","$2,058.96",,,
CARDIOVASCULAR,33130,OTHER,39,"$40,957.45","$32,164.47",,,
CARDIOVASCULAR,33130,TOTAL,57,"$43,583.64","$34,223.43",,,
CARDIOVASCULAR,33140,80S,N/A,"$1,919.47","$1,504.86",,,
CARDIOVASCULAR,33140,OTHER,27,"$41,676.18","$32,378.71",,,
CARDIOVASCULAR,33140,TOTAL,36,"$43,595.65","$33,883.57",,,
CARDIOVASCULAR,33141,80S,199,"$3,649.19","$2,846.90",,,
CARDIOVASCULAR,33141,OTHER,364,"$48,042.56","$37,540.37",,,
CARDIOVASCULAR,33141,TOTAL,563,"$51,691.75","$40,387.27",,,
CARDIOVASCULAR,33202,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33202,OTHER,"1,313","$821,430.61","$638,234.84",,,
CARDIOVASCULAR,33202,TOTAL,"1,313","$821,430.61","$638,234.84",,,
CARDIOVASCULAR,33203,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33203,OTHER,80,"$60,720.10","$47,686.87",,,
CARDIOVASCULAR,33203,TOTAL,80,"$60,720.10","$47,686.87",,,
CARDIOVASCULAR,33206,OTHER,875,"$442,848.50","$345,355.64",,,
CARDIOVASCULAR,33206,TOTAL,875,"$442,848.50","$345,355.64",,,
CARDIOVASCULAR,33207,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33207,OTHER,"15,458","$8,260,657.35","$6,449,319.35",,,
CARDIOVASCULAR,33207,TOTAL,"15,458","$8,260,657.35","$6,449,319.35",,,
CARDIOVASCULAR,33208,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33208,SG,N/A,"$22,443.87","$17,595.99",,,
CARDIOVASCULAR,33208,OTHER,"105,055","$62,436,343.16","$48,684,412.31",,,
CARDIOVASCULAR,33208,TOTAL,"105,058","$62,458,787.03","$48,702,008.30",,,
CARDIOVASCULAR,33210,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33210,OTHER,"10,741","$1,768,735.12","$1,370,779.65",,,
CARDIOVASCULAR,33210,TOTAL,"10,741","$1,768,735.12","$1,370,779.65",,,
CARDIOVASCULAR,33211,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33211,OTHER,169,"$25,820.99","$19,994.81",,,
CARDIOVASCULAR,33211,TOTAL,169,"$25,820.99","$19,994.81",,,
CARDIOVASCULAR,33212,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33212,OTHER,491,"$169,273.84","$131,246.80",,,
