CPT only copyright 2018 American Medical Association. All rights reserved.,,,,,
,,,,,
"""2018 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)""
",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17930,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
CARDIOVASCULAR,33010,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33010,OTHER,"6,344","$619,290.70","$480,735.06"
CARDIOVASCULAR,33010,TOTAL,"6,344","$619,290.70","$480,735.06"
CARDIOVASCULAR,33011,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33011,OTHER,69,"$6,890.76","$5,432.32"
CARDIOVASCULAR,33011,TOTAL,69,"$6,890.76","$5,432.32"
CARDIOVASCULAR,33015,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33015,OTHER,"1,112","$552,399.21","$429,985.62"
CARDIOVASCULAR,33015,TOTAL,"1,112","$552,399.21","$429,985.62"
CARDIOVASCULAR,33020,80S,42,"$4,497.58","$3,519.29"
CARDIOVASCULAR,33020,OTHER,161,"$115,854.92","$90,225.87"
CARDIOVASCULAR,33020,TOTAL,203,"$120,352.50","$93,745.16"
CARDIOVASCULAR,33025,80S,"1,780","$198,834.49","$154,568.26"
CARDIOVASCULAR,33025,OTHER,"4,905","$3,830,178.40","$2,985,257.54"
CARDIOVASCULAR,33025,TOTAL,"6,685","$4,029,012.89","$3,139,825.80"
CARDIOVASCULAR,33030,80S,111,"$30,901.81","$24,235.89"
CARDIOVASCULAR,33030,OTHER,338,"$652,130.28","$510,864.08"
CARDIOVASCULAR,33030,TOTAL,449,"$683,032.09","$535,099.97"
CARDIOVASCULAR,33031,80S,134,"$42,501.02","$32,959.07"
CARDIOVASCULAR,33031,OTHER,233,"$516,819.59","$401,218.14"
CARDIOVASCULAR,33031,TOTAL,367,"$559,320.61","$434,177.21"
CARDIOVASCULAR,33050,80S,20,"$1,901.33","$1,497.91"
CARDIOVASCULAR,33050,OTHER,60,"$42,592.44","$33,453.76"
CARDIOVASCULAR,33050,TOTAL,80,"$44,493.77","$34,951.67"
CARDIOVASCULAR,33120,80S,370,"$100,562.28","$78,070.09"
CARDIOVASCULAR,33120,OTHER,697,"$1,321,555.77","$1,023,375.22"
CARDIOVASCULAR,33120,TOTAL,"1,067","$1,422,118.05","$1,101,445.31"
CARDIOVASCULAR,33130,80S,18,"$2,433.53","$1,907.48"
CARDIOVASCULAR,33130,OTHER,32,"$32,973.12","$25,789.86"
CARDIOVASCULAR,33130,TOTAL,50,"$35,406.65","$27,697.34"
CARDIOVASCULAR,33140,80S,N/A,$217.13,$160.66
CARDIOVASCULAR,33140,OTHER,11,"$18,602.05","$13,425.20"
CARDIOVASCULAR,33140,TOTAL,12,"$18,819.18","$13,585.86"
CARDIOVASCULAR,33141,80S,116,"$2,117.32","$1,645.73"
CARDIOVASCULAR,33141,OTHER,266,"$34,881.40","$27,080.87"
CARDIOVASCULAR,33141,TOTAL,382,"$36,998.72","$28,726.60"
CARDIOVASCULAR,33202,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33202,OTHER,"1,234","$777,841.55","$604,694.76"
CARDIOVASCULAR,33202,TOTAL,"1,234","$777,841.55","$604,694.76"
CARDIOVASCULAR,33203,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33203,OTHER,94,"$71,891.28","$55,922.61"
CARDIOVASCULAR,33203,TOTAL,94,"$71,891.28","$55,922.61"
CARDIOVASCULAR,33206,OTHER,973,"$517,161.92","$402,040.41"
CARDIOVASCULAR,33206,TOTAL,973,"$517,161.92","$402,040.41"
CARDIOVASCULAR,33207,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33207,OTHER,"13,494","$7,715,857.76","$6,024,187.21"
CARDIOVASCULAR,33207,TOTAL,"13,494","$7,715,857.76","$6,024,187.21"
CARDIOVASCULAR,33208,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33208,SG,N/A,"$24,429.62","$19,152.82"
CARDIOVASCULAR,33208,OTHER,"103,887","$65,843,956.41","$51,327,463.31"
CARDIOVASCULAR,33208,TOTAL,"103,890","$65,868,386.03","$51,346,616.13"
CARDIOVASCULAR,33210,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33210,OTHER,"10,886","$1,793,635.04","$1,389,877.31"
CARDIOVASCULAR,33210,TOTAL,"10,886","$1,793,635.04","$1,389,877.31"
CARDIOVASCULAR,33211,OTHER,179,"$26,949.35","$20,883.89"
CARDIOVASCULAR,33211,TOTAL,179,"$26,949.35","$20,883.89"
CARDIOVASCULAR,33212,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33212,OTHER,408,"$136,498.12","$106,286.52"
CARDIOVASCULAR,33212,TOTAL,408,"$136,498.12","$106,286.52"
CARDIOVASCULAR,33213,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33213,OTHER,"1,249","$492,530.56","$380,979.36"
CARDIOVASCULAR,33213,TOTAL,"1,249","$492,530.56","$380,979.36"
CARDIOVASCULAR,33214,80S,N/A,$177.93,$139.50
CARDIOVASCULAR,33214,OTHER,318,"$159,168.98","$123,842.01"
CARDIOVASCULAR,33214,TOTAL,321,"$159,346.91","$123,981.51"
CARDIOVASCULAR,33215,80S,N/A,$45.44,$35.62
CARDIOVASCULAR,33215,OTHER,"3,590","$1,005,125.32","$780,901.28"
CARDIOVASCULAR,33215,TOTAL,"3,591","$1,005,170.76","$780,936.90"
CARDIOVASCULAR,33216,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33216,OTHER,"3,800","$1,226,217.77","$953,311.75"
CARDIOVASCULAR,33216,TOTAL,"3,800","$1,226,217.77","$953,311.75"
CARDIOVASCULAR,33217,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33217,OTHER,704,"$223,034.28","$172,672.45"
CARDIOVASCULAR,33217,TOTAL,704,"$223,034.28","$172,672.45"
CARDIOVASCULAR,33218,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33218,OTHER,461,"$159,111.75","$122,306.42"
CARDIOVASCULAR,33218,TOTAL,461,"$159,111.75","$122,306.42"
CARDIOVASCULAR,33220,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33220,OTHER,90,"$33,564.18","$25,997.40"
CARDIOVASCULAR,33220,TOTAL,90,"$33,564.18","$25,997.40"
CARDIOVASCULAR,33221,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33221,OTHER,253,"$108,309.85","$84,214.11"
CARDIOVASCULAR,33221,TOTAL,253,"$108,309.85","$84,214.11"
CARDIOVASCULAR,33222,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33222,OTHER,"1,887","$474,398.23","$367,696.95"
CARDIOVASCULAR,33222,TOTAL,"1,887","$474,398.23","$367,696.95"
CARDIOVASCULAR,33223,80S,N/A,$178.82,$140.20
CARDIOVASCULAR,33223,OTHER,"1,456","$583,356.29","$453,011.24"
CARDIOVASCULAR,33223,TOTAL,"1,459","$583,535.11","$453,151.44"
CARDIOVASCULAR,33224,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33224,OTHER,"1,347","$643,992.40","$499,967.75"
CARDIOVASCULAR,33224,TOTAL,"1,347","$643,992.40","$499,967.75"
CARDIOVASCULAR,33225,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33225,SG,N/A,$0.00,$0.00
CARDIOVASCULAR,33225,OTHER,"34,240","$16,659,483.64","$12,996,411.42"
CARDIOVASCULAR,33225,TOTAL,"34,240","$16,659,483.64","$12,996,411.42"
CARDIOVASCULAR,33226,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33226,OTHER,309,"$155,491.83","$120,042.34"
CARDIOVASCULAR,33226,TOTAL,309,"$155,491.83","$120,042.34"
CARDIOVASCULAR,33227,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33227,OTHER,"3,801","$1,894,353.38","$1,466,125.54"
CARDIOVASCULAR,33227,TOTAL,"3,801","$1,894,353.38","$1,466,125.54"
CARDIOVASCULAR,33228,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33228,SG,N/A,"$26,399.07","$20,696.85"
CARDIOVASCULAR,33228,OTHER,"24,736","$14,618,817.93","$11,301,128.48"
CARDIOVASCULAR,33228,TOTAL,"24,739","$14,645,217.00","$11,321,825.33"
CARDIOVASCULAR,33229,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33229,SG,N/A,"$43,215.84","$33,881.22"
CARDIOVASCULAR,33229,OTHER,"5,178","$3,450,414.78","$2,685,795.94"
CARDIOVASCULAR,33229,TOTAL,"5,181","$3,493,630.62","$2,719,677.16"
CARDIOVASCULAR,33230,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33230,OTHER,197,"$186,119.14","$145,134.21"
CARDIOVASCULAR,33230,TOTAL,197,"$186,119.14","$145,134.21"
CARDIOVASCULAR,33231,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33231,OTHER,173,"$139,889.10","$109,151.97"
