"CPT only copyright 2019 American Medical Association. All rights reserved.					",,,,,,
,,,,,,
"2019 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17844,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
CARDIOVASCULAR,33010,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33010,OTHER,"6,789 ","$670,745.58 ","$524,332.25 ",
CARDIOVASCULAR,33010,TOTAL,"6,789 ","$670,745.58 ","$524,332.25 ",
CARDIOVASCULAR,33011,OTHER,86 ,"$8,788.17 ","$6,727.43 ",
CARDIOVASCULAR,33011,TOTAL,86 ,"$8,788.17 ","$6,727.43 ",
CARDIOVASCULAR,33015,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33015,OTHER,"1,146 ","$563,379.69 ","$444,464.47 ",
CARDIOVASCULAR,33015,TOTAL,"1,146 ","$563,379.69 ","$444,464.47 ",
CARDIOVASCULAR,33020,80S,41 ,"$4,409.36 ","$3,473.54 ",
CARDIOVASCULAR,33020,OTHER,143 ,"$108,414.49 ","$85,638.19 ",
CARDIOVASCULAR,33020,TOTAL,184 ,"$112,823.85 ","$89,111.73 ",
CARDIOVASCULAR,33025,80S,"1,627 ","$180,999.92 ","$142,059.80 ",
CARDIOVASCULAR,33025,OTHER,"4,586 ","$3,577,089.92 ","$2,814,092.83 ",
CARDIOVASCULAR,33025,TOTAL,"6,213 ","$3,758,089.84 ","$2,956,152.63 ",
CARDIOVASCULAR,33030,80S,123 ,"$35,700.77 ","$28,196.23 ",
CARDIOVASCULAR,33030,OTHER,379 ,"$739,241.51 ","$580,852.28 ",
CARDIOVASCULAR,33030,TOTAL,502 ,"$774,942.28 ","$609,048.51 ",
CARDIOVASCULAR,33031,80S,101 ,"$32,199.53 ","$25,451.53 ",
CARDIOVASCULAR,33031,OTHER,181 ,"$417,939.83 ","$329,580.23 ",
CARDIOVASCULAR,33031,TOTAL,282 ,"$450,139.36 ","$355,031.76 ",
CARDIOVASCULAR,33050,80S,14 ,"$1,344.39 ","$1,064.00 ",
CARDIOVASCULAR,33050,OTHER,70 ,"$42,980.53 ","$34,041.10 ",
CARDIOVASCULAR,33050,TOTAL,84 ,"$44,324.92 ","$35,105.10 ",
CARDIOVASCULAR,33120,80S,390 ,"$107,986.92 ","$83,933.93 ",
CARDIOVASCULAR,33120,OTHER,726 ,"$1,388,632.79 ","$1,093,769.46 ",
CARDIOVASCULAR,33120,TOTAL,"1,116 ","$1,496,619.71 ","$1,177,703.39 ",
CARDIOVASCULAR,33130,80S,15 ,"$2,192.68 ","$1,733.17 ",
CARDIOVASCULAR,33130,OTHER,26 ,"$26,468.50 ","$20,993.50 ",
CARDIOVASCULAR,33130,TOTAL,41 ,"$28,661.18 ","$22,726.67 ",
CARDIOVASCULAR,33140,80S,N/A,$491.25 ,$388.44 ,
CARDIOVASCULAR,33140,OTHER,14 ,"$22,309.47 ","$17,635.17 ",
CARDIOVASCULAR,33140,TOTAL,16 ,"$22,800.72 ","$18,023.61 ",
CARDIOVASCULAR,33141,80S,96 ,"$1,702.34 ","$1,332.23 ",
CARDIOVASCULAR,33141,OTHER,244 ,"$31,803.98 ","$25,027.88 ",
CARDIOVASCULAR,33141,TOTAL,340 ,"$33,506.32 ","$26,360.11 ",
CARDIOVASCULAR,33202,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33202,OTHER,"1,040 ","$667,632.27 ","$525,455.94 ",
CARDIOVASCULAR,33202,TOTAL,"1,040 ","$667,632.27 ","$525,455.94 ",
CARDIOVASCULAR,33203,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33203,OTHER,81 ,"$65,329.49 ","$51,683.53 ",
CARDIOVASCULAR,33203,TOTAL,81 ,"$65,329.49 ","$51,683.53 ",
CARDIOVASCULAR,33206,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33206,OTHER,969 ,"$521,046.33 ","$407,485.65 ",
CARDIOVASCULAR,33206,TOTAL,969 ,"$521,046.33 ","$407,485.65 ",
CARDIOVASCULAR,33207,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33207,OTHER,"12,089 ","$7,122,469.79 ","$5,599,447.45 ",
CARDIOVASCULAR,33207,TOTAL,"12,089 ","$7,122,469.79 ","$5,599,447.45 ",
CARDIOVASCULAR,33208,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33208,SG,N/A,"$7,771.94 ","$6,093.20 ",
CARDIOVASCULAR,33208,OTHER,"105,264 ","$69,782,559.81 ","$54,754,660.94 ",
CARDIOVASCULAR,33208,TOTAL,"105,265 ","$69,790,331.75 ","$54,760,754.14 ",
CARDIOVASCULAR,33210,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33210,OTHER,"10,904 ","$1,806,350.01 ","$1,412,558.37 ",
CARDIOVASCULAR,33210,TOTAL,"10,904 ","$1,806,350.01 ","$1,412,558.37 ",
CARDIOVASCULAR,33211,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33211,OTHER,148 ,"$30,176.29 ","$23,758.15 ",
CARDIOVASCULAR,33211,TOTAL,148 ,"$30,176.29 ","$23,758.15 ",
