"CPT only copyright 2024 American Medical Association. All rights reserved.					",,,,,,
,,,,,,
"2024 Part B National Summary Data File 
Code Range: 02) Surgery (10000 - 69999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17546,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
CARDIOVASCULAR,33016,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33016,OTHER,"3,806 ","$782,693.66 ","$611,560.54 ",
CARDIOVASCULAR,33016,TOTAL,"3,806 ","$782,693.66 ","$611,560.54 ",
CARDIOVASCULAR,33017,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33017,OTHER,"4,074 ","$897,263.75 ","$704,158.22 ",
CARDIOVASCULAR,33017,TOTAL,"4,074 ","$897,263.75 ","$704,158.22 ",
CARDIOVASCULAR,33018,OTHER,N/A,"$1,920.00 ","$1,328.51 ",
CARDIOVASCULAR,33018,TOTAL,N/A,"$1,920.00 ","$1,328.51 ",
CARDIOVASCULAR,33019,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33019,OTHER,227 ,"$44,453.03 ","$34,429.01 ",
CARDIOVASCULAR,33019,TOTAL,227 ,"$44,453.03 ","$34,429.01 ",
CARDIOVASCULAR,33020,80S,53 ,"$4,528.56 ","$3,574.24 ",
CARDIOVASCULAR,33020,OTHER,120 ,"$77,870.43 ","$61,307.60 ",
CARDIOVASCULAR,33020,TOTAL,173 ,"$82,398.99 ","$64,881.84 ",
CARDIOVASCULAR,33025,80S,"1,397 ","$134,903.04 ","$105,455.16 ",
CARDIOVASCULAR,33025,OTHER,"3,139 ","$2,192,867.51 ","$1,719,291.28 ",
CARDIOVASCULAR,33025,TOTAL,"4,536 ","$2,327,770.55 ","$1,824,746.44 ",
CARDIOVASCULAR,33030,80S,61 ,"$16,672.00 ","$13,195.22 ",
CARDIOVASCULAR,33030,OTHER,162 ,"$294,568.70 ","$233,614.58 ",
CARDIOVASCULAR,33030,TOTAL,223 ,"$311,240.70 ","$246,809.80 ",
CARDIOVASCULAR,33031,80S,68 ,"$20,465.47 ","$15,804.64 ",
CARDIOVASCULAR,33031,OTHER,151 ,"$314,608.45 ","$247,864.26 ",
CARDIOVASCULAR,33031,TOTAL,219 ,"$335,073.92 ","$263,668.90 ",
CARDIOVASCULAR,33050,80S,23 ,"$2,156.84 ","$1,705.64 ",
CARDIOVASCULAR,33050,OTHER,43 ,"$26,500.05 ","$20,794.62 ",
CARDIOVASCULAR,33050,TOTAL,66 ,"$28,656.89 ","$22,500.26 ",
CARDIOVASCULAR,33120,80S,312 ,"$80,046.92 ","$62,974.94 ",
CARDIOVASCULAR,33120,OTHER,567 ,"$1,020,529.92 ","$800,008.26 ",
CARDIOVASCULAR,33120,TOTAL,879 ,"$1,100,576.84 ","$862,983.20 ",
CARDIOVASCULAR,33130,80S,N/A,"$1,185.49 ",$927.86 ,
CARDIOVASCULAR,33130,OTHER,22 ,"$20,582.98 ","$15,351.54 ",
