HCPCS Code,Modifier,Short Description,Mac Locality,Non-Facility Price,Facility Price,Unnamed: 6,Unnamed: 7,GPCI Work,GPCI PE,GPCI MP,Proc Stat,Not Used for Medicare,Work RVU,NA Flag for Non-FAC PE RVU,Non-facility PE RVU,Transitioned Non-FAC PE RVU,NA Flag for facility PE RVU,Facility PE RVU,Transitioned Facility PE RVU,MP RVU,Non-facility Total,Transitioned Non-FAC Total,Facility Total,Transitioned Facility Total,PCTC,Global,Pre Op,Intra Op,Post Op,Mult Surg,Bilt Surg,Asst Surg,Co Surg,Team Surg,Phys Supv,Endobase,Conv Fact,Diag Imaging Family Ind
31231,,"Nasal endoscopy, dx",3114550,98.44,78.62,,,0.973,0.984,0.548,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",3114440,103.27,82.47,,,0.988,1.033,1.013,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",3114399,106.8,84.79,,,1.01,1.093,0.713,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",3114301,114.0,89.91,,,1.039,1.196,0.713,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",3114299,94.91,76.3,,,0.961,0.924,0.708,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",3114203,101.84,81.1,,,0.979,1.03,0.708,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",3114099,103.74,82.74,,,1.008,1.043,0.698,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",3114009,118.66,93.24,,,1.062,1.262,0.667,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",3114007,113.9,89.82,,,1.04,1.196,0.667,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",3114006,118.76,93.1,,,1.047,1.274,0.667,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",3114005,121.03,94.87,,,1.067,1.299,0.667,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",3114003,110.81,87.43,,,1.014,1.161,0.667,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",1651016,91.99,74.82,,,0.963,0.853,1.106,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",1636000,98.03,79.12,,,0.99,0.939,1.074,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",1433004,120.25,95.4,,,1.057,1.234,1.839,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",1049000,96.43,77.48,,,0.985,0.941,0.557,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",1025000,90.22,73.18,,,0.957,0.846,0.721,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",1024000,97.97,78.49,,,0.989,0.967,0.507,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",1023000,113.99,90.39,,,1.049,1.172,1.052,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
31231,,"Nasal endoscopy, dx",553500,94.65,76.05,,,0.97,0.924,0.497,A,,1.1,,1.7,1.6,,0.61,1.05,0.08,2.88,2.78,1.79,2.23,0,0,0.0,0.0,0.0,2,2,1,0,0,P ,,36.6137,
