HCPCS Code,Modifier,Short Description,Mac Locality,Non-Facility Price,Facility Price,Non-Facility Limiting Charge,Facility Limiting Charge,GPCI Work,GPCI PE,GPCI MP,Proc Stat,Work RVU,NA Flag for Trans Non-FAC PE RVU,Transitioned Non-FAC PE RVU,NA Flag for Fully IMP Non-FAC PE RVU,Fully Implemented Non-FAC PE RVU,NA Flag for Trans facility PE RVU,Transitioned Facility PE RVU,NA Flag for Fully IMP FAC PE RVU,Fully Implemented Facility PE RVU,MP RVU,Transitioned Non-FAC Total,Transitioned Facility Total,Fully Implemented Non-Fac Total,Fully Implemented Facility Total,PCTC,Global,Pre Op,Intra Op,Post Op,Mult Surg,Bilt Surg,Asst Surg,Co Surg,Team Surg,Phys Supv,Endobase,Conv Fact,Not Used for Medicare,Diag Imaging Family Ind,Opps Non-Facility Payment Amount,Opps Facility Payment Amount,Non-Fac PE Used For Opps PMT AMT,Facility PE Used For Opps PMT AMT,Malpractice Used For Opps PMT AMT
31231,,Nasal endoscopy dx,360221,213.87,65.91,233.65,72.0,1.0,1.0,0.88,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,630200,203.52,61.92,222.35,67.65,1.0,0.957,0.347,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1140216,192.07,65.27,209.83,71.3,1.0,0.857,1.296,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,240299,215.85,66.27,235.82,72.4,1.0,1.011,0.902,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,240202,239.93,70.37,262.13,76.88,1.027,1.146,0.931,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,920250,215.68,66.69,235.64,72.86,1.0,1.007,0.99,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1130200,211.66,65.77,231.24,71.86,1.0,0.986,0.908,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1451250,214.76,64.59,234.63,70.56,1.0,1.015,0.595,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,350209,203.16,66.0,221.95,72.1,1.0,0.927,1.165,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,441299,202.89,64.11,221.66,70.04,1.0,0.938,0.796,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,441218,217.01,67.28,237.08,73.5,1.02,1.012,0.936,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,441215,216.28,66.7,236.29,72.87,1.02,1.011,0.839,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,441228,211.01,65.12,230.53,71.15,1.007,0.986,0.747,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,441211,216.07,66.04,236.05,72.14,1.012,1.014,0.768,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,441209,213.91,66.4,233.7,72.54,1.02,0.997,0.839,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,441220,200.77,64.06,219.34,69.98,1.0,0.924,0.839,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,441231,216.65,65.59,236.69,71.65,1.0,1.021,0.747,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1031235,195.08,61.77,213.12,67.48,1.0,0.901,0.526,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,340202,211.04,63.08,230.56,68.91,1.0,1.0,0.389,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1120201,197.09,62.16,215.32,67.9,1.0,0.912,0.553,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1441201,224.08,68.72,244.81,75.08,1.027,1.05,0.999,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,920220,215.68,66.69,235.64,72.86,1.0,1.007,0.99,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1250299,203.92,65.43,222.78,71.48,1.0,0.936,1.033,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1250201,230.13,71.23,251.42,77.81,1.022,1.074,1.379,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,230299,207.72,64.65,226.94,70.63,1.0,0.967,0.783,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,230201,222.84,66.89,243.45,73.08,1.01,1.054,0.783,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,431200,195.85,64.02,213.97,69.94,1.0,0.891,0.954,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1520200,200.54,64.87,219.09,70.87,1.0,0.917,1.005,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,330201,211.91,63.95,231.51,69.87,1.0,1.0,0.54,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1150200,201.13,63.38,219.73,69.24,1.0,0.931,0.695,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1328299,203.76,63.2,222.61,69.05,1.0,0.95,0.595,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1329204,256.91,79.36,280.68,86.7,1.052,1.2,2.121,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1320203,228.84,70.52,250.01,77.05,1.016,1.07,1.313,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1320202,257.48,79.2,281.3,86.52,1.041,1.205,2.149,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1320201,250.61,76.02,273.8,83.06,1.052,1.18,1.615,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,421205,202.61,66.34,221.36,72.48,1.0,0.921,1.247,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1240299,235.96,69.81,257.79,76.26,1.024,1.123,0.938,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1240201,246.28,71.69,269.06,78.32,1.041,1.18,0.938,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1431240,222.46,67.84,243.04,74.12,1.0,1.045,1.05,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,131200,216.99,66.52,237.06,72.67,1.002,1.017,0.909,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,540200,195.4,60.76,213.48,66.38,1.0,0.91,0.318,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,320201,218.19,70.23,238.37,76.73,1.0,1.0,1.631,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,530299,191.34,63.65,209.04,69.54,1.0,0.863,0.993,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,530201,207.93,66.03,227.16,72.14,1.0,0.959,1.053,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,530202,208.72,66.23,228.02,72.36,1.0,0.963,1.073,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,730200,188.93,60.21,206.41,65.78,1.0,0.87,0.37,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,620200,212.74,63.16,232.42,69.0,1.0,1.011,0.362,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,820299,200.96,64.98,219.54,70.99,1.0,0.919,1.018,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,820201,216.68,70.35,236.72,76.85,1.0,0.989,1.691,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1421299,227.04,69.17,248.04,75.56,1.02,1.067,1.061,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1421201,246.5,72.06,269.3,78.72,1.033,1.179,1.061,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1230299,220.97,68.13,241.41,74.43,1.009,1.033,1.082,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1230201,233.24,71.23,254.82,77.82,1.023,1.095,1.295,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1411299,199.46,63.04,217.91,68.87,1.0,0.922,0.67,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1411203,213.84,64.85,233.62,70.85,1.0,1.007,0.67,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,720299,196.58,65.35,214.77,71.39,1.0,0.887,1.199,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,720201,210.38,67.45,229.84,73.69,1.0,0.966,1.273,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,1510200,193.21,63.01,211.08,68.84,1.0,0.88,0.819,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,520200,197.28,62.49,215.53,68.27,1.0,0.911,0.615,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
31231,,Nasal endoscopy dx,510200,195.5,61.3,213.58,66.97,1.0,0.907,0.423,A,1.1,,4.7,,4.7,,0.59,,0.59,0.16,5.96,1.85,5.96,1.85,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,35.9996,,99,,,0,0,0
