HCPCS Code,Modifier,Short Description,Mac Locality,Non-Facility Price,Facility Price,Non-Facility Limiting Charge,Facility Limiting Charge,GPCI Work,GPCI PE,GPCI MP,Proc Stat,Work RVU,NA Flag for Trans Non-FAC PE RVU,Transitioned Non-FAC PE RVU,NA Flag for Fully IMP Non-FAC PE RVU,Fully Implemented Non-FAC PE RVU,NA Flag for Trans facility PE RVU,Transitioned Facility PE RVU,NA Flag for Fully IMP FAC PE RVU,Fully Implemented Facility PE RVU,MP RVU,Transitioned Non-FAC Total,Transitioned Facility Total,Fully Implemented Non-Fac Total,Fully Implemented Facility Total,PCTC,Global,Pre Op,Intra Op,Post Op,Mult Surg,Bilt Surg,Asst Surg,Co Surg,Team Surg,Phys Supv,Endobase,Conv Fact,Not Used for Medicare,Diag Imaging Family Ind,Opps Non-Facility Payment Amount,Opps Facility Payment Amount,Non-Fac PE Used For Opps PMT AMT,Facility PE Used For Opps PMT AMT,Malpractice Used For Opps PMT AMT
31231,,Nasal endoscopy dx,1520200,171.47,60.67,187.33,66.28,1.0,0.911,1.033,A,1.1,,4.43,,4.43,,0.67,,0.67,0.16,5.69,1.93,5.69,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.3465,,99,,,0,0,0
31231,,Nasal endoscopy dx,1510200,165.98,59.31,181.33,64.8,1.0,0.877,0.913,A,1.1,,4.43,,4.43,,0.67,,0.67,0.16,5.69,1.93,5.69,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.3465,,99,,,0,0,0
31231,,Nasal endoscopy dx,1451250,180.55,59.78,197.26,65.31,1.0,0.993,0.518,A,1.1,,4.43,,4.43,,0.67,,0.67,0.16,5.69,1.93,5.69,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.3465,,99,,,0,0,0
31231,,Nasal endoscopy dx,1441201,189.75,63.38,207.3,69.24,1.025,1.039,0.849,A,1.1,,4.43,,4.43,,0.67,,0.67,0.16,5.69,1.93,5.69,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.3465,,99,,,0,0,0
31231,,Nasal endoscopy dx,1431240,188.4,62.64,205.82,68.43,1.0,1.034,0.898,A,1.1,,4.43,,4.43,,0.67,,0.67,0.16,5.69,1.93,5.69,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.3465,,99,,,0,0,0
31231,,Nasal endoscopy dx,1421299,192.34,63.3,210.13,69.16,1.017,1.061,0.796,A,1.1,,4.43,,4.43,,0.67,,0.67,0.16,5.69,1.93,5.69,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.3465,,99,,,0,0,0
31231,,Nasal endoscopy dx,1421201,213.23,67.64,232.95,73.9,1.042,1.197,0.894,A,1.1,,4.43,,4.43,,0.67,,0.67,0.16,5.69,1.93,5.69,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.3465,,99,,,0,0,0
31231,,Nasal endoscopy dx,1411299,169.77,58.73,185.48,64.16,1.0,0.913,0.65,A,1.1,,4.43,,4.43,,0.67,,0.67,0.16,5.69,1.93,5.69,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.3465,,99,,,0,0,0
31231,,Nasal endoscopy dx,1411203,183.99,60.91,201.01,66.54,1.0,1.012,0.656,A,1.1,,4.43,,4.43,,0.67,,0.67,0.16,5.69,1.93,5.69,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.3465,,99,,,0,0,0
31231,,Nasal endoscopy dx,1329204,216.7,71.36,236.74,77.96,1.065,1.195,1.462,A,1.1,,4.43,,4.43,,0.67,,0.67,0.16,5.69,1.93,5.69,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.3465,,99,,,0,0,0
31231,,Nasal endoscopy dx,1328299,175.36,59.94,191.58,65.48,1.0,0.949,0.732,A,1.1,,4.43,,4.43,,0.67,,0.67,0.16,5.69,1.93,5.69,1.93,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,32.3465,,99,,,0,0,0
